Champions HP HP HP5 HP5 MP MP MP5 MP5 AD AD AS AS AR AR MR MR MS Range

Aatrox,537.8,85,6.59,0.5,30,45,0,0,60.376,3.2,0.651,3,24.384,3.8,32.1,1.25,345,150
Ahri,514.4,80,6.505,0.6,334,50,6,0.8,53.04,3,0.668,2,20.88,3.5,30,0,330,550
Akali,587.8,85,8.34,0.65,200,0,50,0,58.376,3.2,0.694,3.1,26.38,3.5,32.1,1.25,350,125
Alistar,613.36,102,8.675,0.85,278.84,38,6,0.8,61.1116,3.62,0.625,2.125,24.38,3.5,32.1,1.25,330,125
Amumu,613.12,84,8.875,0.85,287.2,40,7.38,0.525,53.384,3.8,0.638,2.18,23.544,3.3,32.1,1.25,335,125
Anivia,467.6,70,5.57,0.55,346.04,53,6,0.8,51.376,3.2,0.625,1.68,21.22,4,30,0,325,600
Annie,511.68,76,5.42,0.55,334,50,6,0.8,50.41,2.625,0.579,1.36,19.22,4,30,0,335,625
Ashe,527.72,79,5.42,0.55,231.8,35,6.97,0.4,51.088,2.85,0.658,4,21.212,3.4,30,0,325,600
Azir,524.4,80,6.92,0.55,350.56,42,6,0.8,52,2.8,0.6,1.5,19.04,3,30,0,335,525
Blitzcrank,582.6,95,8.51,0.75,267.2,40,6,0.8,61.54,3.5,0.625,1.13,24.38,3.5,32.1,1.25,325,125
Brand,507.68,76,5.42,0.55,325.6,45,8.005,0.6,57.04,3,0.625,1.36,21.88,3.5,30,0,340,550
Braum,576.16,87,8.18,1,310.6,45,6,0.8,55.376,3.2,0.644,3.5,26.72,4,32.1,1.25,335,125
Caitlyn,524.4,80,5.67,0.55,313.8,35,7.42,0.55,50.04,3,0.625,4,22.88,3.5,30,0,325,650
Cassiopeia,506,75,5.69,0.5,370.8,60,6,0.8,50.376,3.2,0.647,1.68,22.22,4,30,0,335,550
Cho'Gath,574.4,80,8.925,0.85,272.2,40,7.205,0.45,61.156,4.2,0.625,1.44,28.88,3.5,32.1,1.25,345,125
Corki,512.76,82,5.42,0.55,305.16,37,7.42,0.55,51.24,3,0.625,2.3,23.38,3.5,30,0,325,550
Darius,582.24,93,9.845,0.95,263,37.5,6.585,0.35,55.88,3.5,0.679,2.65,29.88,3.5,32.1,1.25,340,125
Diana,589.2,90,7.425,0.85,297.2,40,6,0.8,53.04,3,0.625,2.25,26.048,3.6,32.1,1.25,345,150
Dr. Mundo,582.52,89,7.76,0.75,0,0,0,0,61.27,3,0.625,2.8,26.88,3.5,32.1,1.25,345,125
Draven,557.76,82,6.175,0.7,310.56,42,8.04,0.65,50.38,3.5,0.679,2.7,25.544,3.3,30,0,330,550
Elise,529.4,80,5.705,0.6,324,50,6,0.8,50.54,3,0.625,1.75,22.128,3.35,30,0,335,550
Evelynn,531.2,90,9.82,0.55,265.6,45,8.105,0.6,53.88,3.5,0.625,3.6,26.5,3.8,32.1,1.25,340,125
Ezreal,484.4,80,6.42,0.55,310.6,45,8.09,0.65,50.24,3,0.625,2.8,21.88,3.5,30,0,325,550
Fiddlesticks,524.4,80,5.605,0.6,350.12,59,6,0.8,48.36,2.625,0.625,2.11,20.88,3.5,30,0,335,480
Fiora,592.8,85,6.84,0.8,287.2,40,7.59,0.5,59.876,3.2,0.672,3,24.88,3.5,32.1,1.25,350,125
Fizz,558.48,86,8.175,0.7,267.2,40,6,0.8,58.04,3,0.658,3.1,22.412,3.4,32.1,1.25,335,175
Galio,577.8,85,8.71,0.75,319,50,6,0.8,61.97,3.375,0.638,1.2,26.88,3.5,32.1,1.25,335,125
Gangplank,631.08,81,5.51,0.75,282.2,40,7.675,0.7,59.04,3,0.651,2.75,26.044,3.3,32.1,1.25,345,125
Garen,616.28,96,7.84,0.5,0,0,0,0,57.88,3.5,0.625,2.9,27.536,2.7,32.1,1.25,345,125
Gnar,540,65,2.5,0.5,100,0,0,0,48,3,0.625,0.5,23,2.5,30,0,325,150
Gragas,583.52,89,8.675,0.85,299.96,47,6,0.8,61.38,3.5,0.651,2.05,26.048,3.6,32.1,1.25,330,125
Graves,551.12,84,6.675,0.7,322.2,40,7.925,0.7,54.208,3.1,0.625,2.9,24.376,3.2,30,0,330,525
Hecarim,599.6,95,9.26,0.75,277.2,40,7.505,0.6,61.376,3.2,0.670,2.5,26.72,4,32.1,1.25,345,175
Heimerdinger,476,75,11.005,1.75,307.2,40,6,0.8,55.536,2.7,0.625,1.36,19.04,3,30,0,340,550
Irelia,607.2,90,8.59,0.65,288.8,35,8.09,0.65,61.544,3.3,0.665,3.2,25.3,3.75,32.1,1.25,345,125
Janna,487.04,78,5.42,0.55,409.52,64,9,0.4,51.956,2.95,0.625,2.61,19.384,3.8,30,0,335,475
Jarvan IV,571.2,90,8.175,0.7,302.2,40,6.755,0.45,55.712,3.4,0.658,2.5,27.048,3.6,32.1,1.25,340,175
Jax,592.8,85,8.37,0.55,288.8,35,7.575,0.7,61.97,3.375,0.638,3.4,27.04,3.0,32.1,1.25,350,125
Jayce,571.2,90,7.34,0.8,307.2,40,6,0.8,50.38,3.5,0.658,3,22.38,3.5,30,0,335,125
Jinx,517.76,82,5.84,0.5,245.6,45,6.68,1,53.04,3,0.625,1,22.88,3.5,30,0,325,525
Kalista,517.76,83,6,0.55,231.8,35,6.3,0.4,53.46,3.25,0.658,3.3,19.012,3.5,30,0,325,550
Karma,522.44,83,5.62,0.55,374,50,6,0.8,53.544,3.3,0.625,2.3,20.384,3.8,30,0,335,525
Karthus,516,75,6.42,0.55,372.48,61,6,0.8,45.66,3.25,0.625,2.11,20.88,3.5,30,0,335,450
Kassadin,564.04,78,7.79,0.5,347.6,70,6,0.8,58.852,3.9,0.64,3.7,23.376,3.2,30,0,340,150
Katarina,559.4,80,7.87,0.55,0,0,0,0,58.376,3.2,0.658,2.74,26.88,3.5,32.1,1.25,345,125
Kayle,574.24,93,8.26,0.75,322.2,40,6,0.8,56.004,2.8,0.638,2.2,26.88,3.5,30,0,335,125
Kennen,535.72,79,5.59,0.65,200,0,50,0,50.544,3.3,0.690,3.4,24.3,3.75,30,0,335,550
Kha'Zix,572.8,85,7.51,0.75,327.2,40,7.59,0.5,55.208,3.1,0.668,2.7,24.04,3,32.1,1.25,350,125
Kog'Maw,546.16,87,5.92,0.55,322.2,40,8.675,0.7,49.04,3,0.665,2.65,19.88,3.5,30,0,325,500
LeBlanc,516,75,7.42,0.55,334,50,6,0.8,54.88,3.5,0.625,1.4,21.88,3.5,30,0,335,525
Lee Sin,570.8,85,7.425,0.7,200,0,50,0,61.176,3.2,0.651,3,24.216,3.7,32.1,1.25,350,125
Leona,576.16,87,8.425,0.85,302.2,40,6,0.8,60.04,3,0.625,2.9,27.208,3.1,32.1,1.25,335,125
Lissandra,506.12,84,6.92,0.55,304,50,5.67,0.4,50.536,2.7,0.625,1.36,20.216,3.7,30,0,325,550
Lucian,554.4,80,6.19,0.65,298.88,41,8.175,0.7,52.04,3,0.638,3.3,24.04,3,30,0,335,500
Lulu,552.76,82,6.005,0.6,292.4,55,6,0.8,46.368,2.6,0.625,2.25,19.216,3.7,30,0,325,550
Lux,477.72,79,5.42,0.55,334,50,6,0.8,53.544,3.3,0.625,1.36,18.72,4,30,0,330,550
Malphite,574.2,90,8.37,0.55,282.2,40,7.32,0.55,61.97,3.375,0.638,3.4,28.3,3.75,32.1,1.25,335,125
Malzahar,514.4,80,5.42,0.55,325.6,45,6,0.8,54.7,3,0.625,1.36,21.88,3.5,30,0,340,550
Maokai,572.2,90,8.675,0.85,327.28,46,7.205,0.45,63.544,3.3,0.694,2.125,28.72,4,30,0,335,125
Master Yi,598.56,92,7.59,0.65,250.56,42,7.255,0.45,60.04,3,0.679,2,24.04,3,32.1,1.25,355,125
Miss Fortune,577.8,85,6.19,0.65,275.84,38,8.04,0.65,49.54,3,0.656,3.01,24.04,3,30,0,325,550
Mordekaiser,555.4,80,3.37,0.55,120,0,0,0,57.58,3.5,0.694,3,24.88,3.5,32.1,1.25,340,125
Morgana,547.48,86,5.705,0.6,340.8,60,6,0.8,55.46,3.5,0.625,1.53,25.384,3.8,30,0,335,450
